iter	Passed	Remaining
0	18	18145
1	19	9929
2	21	7158
3	23	5734
4	24	4889
5	26	4338
6	27	3933
7	29	3687
8	31	3485
9	33	3298
10	34	3146
11	37	3056
12	38	2941
13	40	2843
14	41	2750
15	43	2669
16	45	2638
17	47	2577
18	48	2517
19	50	2463
20	51	2422
21	53	2378
22	55	2337
23	56	2303
24	58	2280
25	61	2300
26	62	2259
27	64	2229
28	65	2208
29	67	2183
30	68	2156
31	70	2134
32	72	2111
33	73	2094
34	75	2092
35	77	2082
36	79	2063
37	80	2049
38	82	2037
39	84	2024
40	86	2017
41	88	2008
42	90	2003
43	92	2003
44	93	1991
45	95	1976
46	97	1968
47	98	1955
48	100	1943
49	101	1931
50	103	1926
51	105	1920
52	107	1923
53	109	1913
54	111	1908
55	112	1902
56	114	1892
57	115	1883
58	117	1874
59	119	1864
60	120	1857
61	122	1853
62	124	1849
63	126	1844
64	127	1838
65	129	1836
66	131	1828
67	132	1820
68	134	1812
69	135	1804
70	138	1806
71	139	1800
72	141	1793
73	142	1786
74	144	1780
75	145	1774
76	147	1767
77	149	1761
78	150	1755
79	152	1757
80	154	1754
81	156	1747
82	157	1741
83	159	1735
84	160	1730
85	162	1725
86	163	1718
87	165	1713
88	167	1710
89	169	1712
90	170	1708
91	172	1703
92	174	1697
93	175	1692
94	177	1688
95	178	1682
96	180	1678
97	181	1673
98	185	1684
99	186	1680
100	188	1675
101	189	1669
102	191	1665
103	192	1661
104	194	1656
105	195	1651
106	197	1646
107	199	1651
108	201	1646
109	202	1642
110	204	1637
111	206	1634
112	207	1629
113	209	1625
114	210	1620
115	212	1618
116	214	1619
117	216	1618
118	218	1616
119	220	1613
120	221	1611
121	223	1608
122	225	1604
123	226	1600
124	228	1596
125	230	1596
126	231	1594
127	233	1590
128	234	1585
129	236	1581
130	237	1577
131	239	1574
132	240	1570
133	242	1566
134	244	1564
135	246	1563
136	247	1559
137	249	1555
138	250	1552
139	252	1548
140	253	1545
141	255	1543
142	256	1539
143	258	1536
144	260	1536
145	262	1534
146	263	1530
147	265	1528
148	266	1524
149	268	1523
150	270	1520
151	271	1516
152	273	1512
153	275	1512
154	276	1505
155	277	1502
156	279	1499
157	280	1496
158	282	1492
159	283	1490
160	285	1487
161	286	1484
162	288	1481
163	290	1482
164	292	1480
165	294	1477
166	295	1474
167	296	1466
168	297	1463
169	299	1460
170	300	1457
171	302	1454
172	303	1452
173	305	1450
174	307	1448
175	309	1447
176	311	1446
177	312	1445
178	315	1445
179	316	1443
180	318	1441
181	320	1440
182	322	1440
183	324	1438
184	325	1435
185	327	1432
186	328	1429
187	330	1426
188	331	1423
189	333	1421
190	334	1418
191	336	1417
192	338	1415
193	340	1413
194	341	1410
195	343	1410
196	346	1410
197	348	1411
198	350	1410
199	353	1412
200	354	1410
201	356	1407
202	357	1405
203	359	1402
204	360	1399
205	362	1396
206	363	1394
207	365	1391
208	367	1389
209	369	1388
210	370	1386
211	372	1384
212	373	1381
213	375	1379
214	376	1376
215	378	1373
216	379	1370
217	381	1368
218	383	1369
219	385	1366
220	387	1365
221	388	1362
222	390	1360
223	391	1357
224	393	1354
225	394	1352
226	396	1349
227	398	1349
228	400	1347
229	402	1345
230	403	1344
231	405	1342
232	407	1341
233	408	1338
234	410	1336
235	411	1333
236	414	1333
237	416	1332
238	417	1330
239	419	1327
240	420	1324
241	422	1322
242	423	1320
243	425	1317
244	427	1316
245	429	1315
246	430	1313
247	432	1311
248	433	1308
249	435	1306
250	436	1303
251	438	1301
252	440	1299
253	441	1296
254	443	1294
255	445	1294
256	446	1292
257	448	1290
258	450	1287
259	451	1285
260	453	1282
261	454	1280
262	456	1278
263	457	1275
264	460	1276
265	462	1275
266	463	1273
267	465	1270
268	466	1268
269	468	1266
270	469	1263
271	471	1261
272	473	1260
273	476	1262
274	478	1260
275	479	1258
276	481	1255
277	482	1253
278	484	1251
279	485	1248
280	487	1246
281	488	1244
282	490	1243
283	492	1241
284	494	1239
285	495	1237
286	497	1236
287	499	1234
288	501	1232
289	502	1231
290	504	1229
291	506	1228
292	508	1226
293	509	1224
294	511	1222
295	513	1220
296	514	1217
297	516	1215
298	517	1213
299	518	1210
300	520	1208
301	522	1207
302	524	1205
303	525	1203
304	527	1201
305	528	1199
306	530	1197
307	531	1195
308	533	1192
309	534	1190
310	536	1189
311	538	1188
312	540	1185
313	541	1183
314	543	1181
315	544	1179
316	546	1177
317	547	1175
318	549	1172
319	550	1170
320	553	1170
321	554	1168
322	556	1165
323	557	1163
324	559	1161
325	560	1159
326	562	1157
327	564	1156
328	566	1154
329	569	1155
330	571	1154
331	572	1152
332	574	1150
333	575	1148
334	577	1146
335	578	1143
336	580	1141
337	581	1139
338	583	1138
339	585	1136
340	587	1134
341	588	1133
342	590	1131
343	592	1129
344	593	1127
345	595	1125
346	597	1123
347	599	1122
348	601	1121
349	602	1119
350	604	1117
351	605	1115
352	607	1113
353	608	1111
354	610	1108
355	611	1106
356	613	1105
357	615	1103
358	617	1101
359	618	1099
360	620	1097
361	621	1095
362	623	1093
363	624	1090
364	625	1088
365	627	1086
366	629	1085
367	631	1084
368	632	1082
369	634	1080
370	635	1078
371	637	1076
372	638	1074
373	640	1072
374	642	1070
375	643	1068
376	645	1067
377	647	1065
378	648	1063
379	650	1061
380	651	1059
381	653	1057
382	654	1054
383	656	1052
384	657	1050
385	660	1050
386	662	1048
387	663	1046
388	665	1045
389	667	1043
390	668	1041
391	670	1040
392	672	1038
393	673	1036
394	675	1035
395	677	1033
396	679	1032
397	681	1030
398	683	1029
399	685	1027
